1,Adaadadsa Lovelace,CA,25.00,Tile,249.00,3.50,4.15,871.50,1033.35,476.21,2381.06,10/07/2020
2,namesdfe,TX,4.45,Wood,100,4.75,4.75,475.00,475.00,42.275000,992.275000,10/07/2020
1,Ada Lovelace,CA,25.00,Tile,249.00,3.50,4.15,871.50,1033.35,476.21,2381.06,10/08/2020
2,name,TX,4.45,Wood,100,4.75,4.75,475.00,475.00,42.275000,992.275000,10/08/2020
3,name2,TX,4.45,Wood,100,4.75,4.75,475.00,475.00,42.275000,992.275000,10/08/2020
4,namefour,TX,4.45,Wood,100,4.75,4.75,475.00,475.00,42.275000,992.275000,10/08/2020
5,namefive,TX,4.45,Wood,100,4.75,4.75,475.00,475.00,42.28,992.28,10/08/2020
6,namesix,TX,4.45,Wood,100,4.75,4.75,475.00,475.00,42.28,992.28,10/08/2020
1,RecursionCleanBuild,TX,4.45,Tile,100,4.15,4.15,415.00,415.00,36.94,866.94,10/10/2020
2,editTwo,TX,4.45,Wood,400,4.75,4.75,1900.00,1900.00,169.10,3969.10,10/10/2020
3,editThreeNull,TX,4.45,Wood,100,4.75,4.75,475.00,475.00,42.28,992.28,10/10/2020
4,name,TX,4.45,Wood,100,4.75,4.75,475.00,475.00,42.28,992.28,10/10/2020
1,testNewOrder,TX,4.45,Wood,200,4.75,4.75,950.00,950.00,84.55,1984.55,10/12/2020
1,Test,TX,4.45,Wood,100,4.75,4.75,475.00,475.00,42.28,992.28,10/13/2020
